id,titlu,valoare,data,tip,firma,cui,ofertanti
contract-2025-58069,Lucrari de constructii de scoli gimnaziale (Rev.2),29508940.0,2025-07-29,Licitatie deschisa,YARDMAN,RO28250562,2
contract-2025-103428,Lucrari de constructii de gradinite (Rev.2),24184504.0,2025-09-05,Licitatie deschisa,GLOBEXTERRA,RO28610220,2
contract-2025-103429,Lucrari de constructii de gradinite (Rev.2),24184504.0,2025-09-05,Licitatie deschisa,ROMCO SYSTEM S.R.L.,RO 15315902,2
achizitie-directa-2025-10631,Servicii de consultanta in domeniul achizitiilor (Rev.2),104000.0,2025-10-02,Achizitie directa,PERCONS EU,25535239,1
achizitie-directa-2025-19677,Servicii generale de consultanta in management (Rev.2),100000.0,2025-10-02,Achizitie directa,CREATIVE PEOPLE,39329387,1
achizitie-directa-2025-19721,Rafturi de carti (Rev.2),3437.06,2025-10-02,Achizitie directa,FRAMEWORKS,17523870,1
achizitie-directa-2025-36864,Servicii de brokeraj de asigurari (Rev.2),3144.76,2025-10-06,Achizitie directa,ZBK BALKAN S.A. BULGARIA SUCURSALA ROMANIA,35779982,1
achizitie-directa-2025-57743,"Registre, registre contabile, clasoare, formulare si alte articole imprimate de ",5545.0,2025-10-09,Achizitie directa,Dark Solutions,23255720,1
achizitie-directa-2025-86474,Consultanta in afaceri si in management si servicii conexe (Rev.2),230000.0,2025-10-14,Achizitie directa,FLEXABILITY MANAGEMENT,19179498,1
achizitie-directa-2025-86672,Servicii de supraveghere a santierului (Rev.2),216500.0,2025-10-14,Achizitie directa,RALEX PROIECT CONSTRUCT,29101593,1
achizitie-directa-2025-86792,Servicii de auditare financiara (Rev.2),30000.0,2025-10-14,Achizitie directa,GHE STUBEANU 2000 SRL,12780287,1
achizitie-directa-2025-89380,Servicii de reparare si de intretinere a automobilelor (Rev.2),2278.65,2025-10-14,Achizitie directa,GI EUROSERVICE,19166285,1
achizitie-directa-2025-96828,"Ferestre, usi si articole conexe (Rev.2)",10230.0,2025-10-15,Achizitie directa,ADLO PROCARS SRL,29496361,1
achizitie-directa-2025-98012,Servicii de asistenta tehnica (Rev.2),10000.0,2025-10-15,Achizitie directa,LEGAL ASSISTANCE,21293787,1
achizitie-directa-2025-102034,Servicii de intretinere a automobilelor (Rev.2),1223.18,2025-10-16,Achizitie directa,AUTO MARCU'S GRUP SA,86,1
achizitie-directa-2025-102050,Servicii de intretinere a automobilelor (Rev.2),1222.72,2025-10-16,Achizitie directa,AUTO MARCU'S GRUP SA,86,1
achizitie-directa-2025-106965,Imprimate la comanda (Rev.2),747.0,2025-10-16,Achizitie directa,BIROTICIENII S.R.L.,33911008,1
achizitie-directa-2025-108035,Cartuse de toner (Rev.2),1579.2,2025-10-17,Achizitie directa,FANPLACE iT SRL,31962960,1
achizitie-directa-2025-116448,Servicii de consultanta privind gestionarea proiectelor (Rev.2),150000.0,2025-10-20,Achizitie directa,FINANCE PUBLIC CONSULTING,47236831,1
achizitie-directa-2025-116577,Servicii de auditare financiara (Rev.2),30000.0,2025-10-20,Achizitie directa,GHE STUBEANU 2000 SRL,12780287,1
achizitie-directa-2025-120775,Servicii de campanii de publicitate (Rev.2),60000.0,2025-10-20,Achizitie directa,INDOOR MEDIA GROUP,18436062,1
achizitie-directa-2025-128613,Servicii de brokeraj de asigurari (Rev.2),3983.89,2025-10-21,Achizitie directa,ZBK BALKAN S.A. BULGARIA SUCURSALA ROMANIA,35779982,1
achizitie-directa-2025-130839,Indicatoare rutiere (Rev.2),88885.0,2025-10-21,Achizitie directa,GEROM INTERNATIONAL PRODIMEX S.R.L.,4695288,1
achizitie-directa-2025-131068,Lichide pentru uz hidraulic (Rev.2),3123.5,2025-10-21,Achizitie directa,WURTH ROMANIA S.R.L.,5175127,1
achizitie-directa-2025-141531,Lucrari de constructii de conducte de alimentare cu gaz (Rev.2),21172.0,2025-10-22,Achizitie directa,TEHNOSERVICE ACTIV INSTAL,37006983,1
achizitie-directa-2025-148114,Produse antigel (Rev.2),759.2,2025-10-23,Achizitie directa,TURBOTOP,22627540,1
